codigo,nome,curso
CEA038,Química Geral,Engenharia de Computação
CEA039,Química Geral Experimental,Engenharia de Computação
CEA049,Geometria Analítica e Álgebra Linear,Engenharia de Computação
CEA050,Cálculo Diferencial e Integral I,Engenharia de Computação
CSI101,Programação de Computadores I,Engenharia de Computação
CSI902,Metodologia de Pesquisa,Engenharia de Computação
CSI903,Introdução à Engenharia de Computação,Engenharia de Computação
EAD707,Comunicação e Expressão,Engenharia de Computação
CEA051,Cálculo Diferencial e Integral II,Engenharia de Computação
CEA055,Estatística e Probabilidade,Engenharia de Computação
CEA061,Física I,Engenharia de Computação
CSI011,Matemática Discreta,Engenharia de Computação
CSI102,Programação de Computadores II,Engenharia de Computação
CEA052,Cálculo Diferencial e Integral III,Engenharia de Computação
CEA056,Introdução às Equações Diferenciais Ordinárias,Engenharia de Computação
CEA062,Física II,Engenharia de Computação
CSI103,Algoritmos e Estruturas de Dados I,Engenharia de Computação
ELT341,Princípios de Eletrônica Digital,Engenharia de Computação
CEA063,Física III,Engenharia de Computação
CSI104,Algoritmos e Estruturas de Dados II,Engenharia de Computação
CSI115,Algoritmos e Estruturas de Dados III,Engenharia de Computação
ELT552,Circuitos Elétricos I,Engenharia de Computação
ELT562,Sinais e Sistemas,Engenharia de Computação
CEA064,Física IV,Engenharia de Computação
CSI012,Análise Numérica,Engenharia de Computação
CSI209,Organização e Arquitetura de Computadores I,Engenharia de Computação
CSI412,Engenharia de Software I,Engenharia de Computação
ELT551,Modelagem e Análise de Sistemas Lineares,Engenharia de Computação
CSI210,Organização e Arquitetura de Computadores II,Engenharia de Computação
CSI301,Redes de Computadores I,Engenharia de Computação
CSI602,Banco de Dados I,Engenharia de Computação
ELT561,Eletrônica I,Engenharia de Computação
ELT582,Fundamentos de Comunicações,Engenharia de Computação
CSI106,Fundamentos Teóricos da Computação,Engenharia de Computação
CSI204,Sistemas Operacionais,Engenharia de Computação
CSI302,Sistemas Distribuídos,Engenharia de Computação
CSI706,Computação Gráfica,Engenharia de Computação
ELT580,Microprocessadores e Microcontroladores,Engenharia de Computação
CSI114,Linguagens de Programação,Engenharia de Computação
CSI206,Avaliação de Desempenho de Sistemas,Engenharia de Computação
CSI522,Interação Humano-Computador,Engenharia de Computação
CSI701,Inteligência Artificial,Engenharia de Computação
CSI990,Projeto Integrador I,Engenharia de Computação
CEA066,Fundamentos de Ciência do Ambiente,Engenharia de Computação
CSI109,Compiladores I,Engenharia de Computação
CSI901,Informática e Sociedade,Engenharia de Computação
CSI991,Projeto Integrador II,Engenharia de Computação
CSI995,Trabalho de Conclusão de Curso I,Engenharia de Computação
CSI996,Trabalho de Conclusão de Curso II,Engenharia de Computação
EAD344,Teoria da Administração I,Engenharia de Computação
GEP351,Filosofia e Ética,Engenharia de Computação
