codigo,nome,curso
CEA038,Química Geral,Engenharia Elétrica
CEA039,Química Geral Experimental,Engenharia Elétrica
CEA049,Geometria Analítica e Álgebra Linear,Engenharia Elétrica
CEA050,Cálculo Diferencial e Integral I,Engenharia Elétrica
CSI030,Programação de Computadores I,Engenharia Elétrica
EAD707,Comunicação e Expressão,Engenharia Elétrica
ELT204,Introdução à Engenharia Elétrica,Engenharia Elétrica
ELT458,Metodologia da Pesquisa,Engenharia Elétrica
CEA051,Cálculo Diferencial e Integral II,Engenharia Elétrica
CEA055,Estatística e Probabilidade,Engenharia Elétrica
CEA061,Física I,Engenharia Elétrica
CSI488,Algoritmos e Estrutura de Dados I,Engenharia Elétrica
ELT026,Desenho Computacional,Engenharia Elétrica
CEA052,Cálculo Diferencial e Integral III,Engenharia Elétrica
CEA056,Introdução às Equações Diferenciais Ordinárias,Engenharia Elétrica
CEA062,Física II,Engenharia Elétrica
CEA063,Física III,Engenharia Elétrica
ELT341,Princípios de Eletrônica Digital,Engenharia Elétrica
CEA057,Métodos Matemáticos Aplicados à Engenharia Elétrica,Engenharia Elétrica
CEA064,Física IV,Engenharia Elétrica
CSI148,Análise Numérica,Engenharia Elétrica
CSI203,Organização e Arquitetura de Computadores I,Engenharia Elétrica
ELT552,Circuitos Elétricos I,Engenharia Elétrica
CEA065,Mecânica Quântica Aplicada,Engenharia Elétrica
ELT502,Eletromagnetismo,Engenharia Elétrica
ELT555,Modelagem e Análise de Sistemas Lineares,Engenharia Elétrica
ELT562,Sinais e Sistemas,Engenharia Elétrica
ELT563,Circuitos Elétricos II,Engenharia Elétrica
ELT112,Máquinas Elétricas I,Engenharia Elétrica
ELT114,Sistemas de Controle I,Engenharia Elétrica
ELT561,Eletrônica I,Engenharia Elétrica
ELT573,Sistemas de Potência I,Engenharia Elétrica
ELT582,Fundamentos de Comunicações,Engenharia Elétrica
ELT113,Máquinas Elétricas II,Engenharia Elétrica
ELT115,Eletrônica II,Engenharia Elétrica
ELT580,Microprocessadores e Microcontroladores,Engenharia Elétrica
ELT583,Sistemas de Potência II,Engenharia Elétrica
EAD344,Teoria da Administração I,Engenharia Elétrica
ELT147,Eletrônica Embarcada,Engenharia Elétrica
ELT581,Eletrônica de Potência,Engenharia Elétrica
ELT671,Processamento Digital de Sinais,Engenharia Elétrica
CSI548,Redes de Computadores I,Engenharia Elétrica
EAD351,Filosofia e Ética,Engenharia Elétrica
ELT117,Instrumentação,Engenharia Elétrica
ELT590,Acionamentos Elétricos,Engenharia Elétrica
ELT598,Projeto em Engenharia Elétrica,Engenharia Elétrica
CEA066,Fundamentos de Ciência do Ambiente,Engenharia Elétrica
ELT116,Informática Industrial,Engenharia Elétrica
ELT593,Materiais Elétricos,Engenharia Elétrica
ELT594,Projeto Integrador,Engenharia Elétrica
ELT597,Instalações Elétricas,Engenharia Elétrica
