codigo,nome,curso
CEA001,Geometria Analítica e Álgebra Linear,Engenharia de Produção
CEA031,Química Geral,Engenharia de Produção
CEA160,Cálculo Diferencial e Integral I,Engenharia de Produção
CSI030,Programação de Computadores I,Engenharia de Produção
ENP100,Introdução à Engenharia de Produção,Engenharia de Produção
ENP101,Introdução à Metodologia da Pesquisa,Engenharia de Produção
CEA003,Física I,Engenharia de Produção
CEA301,Cálculo Diferencial e Integral II,Engenharia de Produção
CSI428,Algoritmos e Estrutura de Dados I,Engenharia de Produção
ENP004,Expressão Gráfica,Engenharia de Produção
ENP152,Ética e Responsabilidade Socioambiental,Engenharia de Produção
CEA006,Cálculo Diferencial e Integral III,Engenharia de Produção
CEA007,Física II,Engenharia de Produção
CEA012,Probabilidade,Engenharia de Produção
CEA302,Introdução às Equações Diferenciais Ordinárias,Engenharia de Produção
ENP151,Ciência Tecnologia e Sociedade,Engenharia de Produção
CEA013,Física III,Engenharia de Produção
CEA020,Estatística,Engenharia de Produção
CEA404,Cálculo Numérico,Engenharia de Produção
ENP005,Ergonomia,Engenharia de Produção
ENP153,Programação Linear,Engenharia de Produção
ENP014,Organização do Trabalho,Engenharia de Produção
ENP015,Microeconomia,Engenharia de Produção
ENP017,Teoria das Organizações,Engenharia de Produção
ENP157,Estatística II,Engenharia de Produção
ENP160,Otimização Combinatória,Engenharia de Produção
CEA700,Princípios de Ciências de Materiais,Engenharia de Produção
ENP019,Psicologia do Trabalho,Engenharia de Produção
ENP022,Gestão da Qualidade,Engenharia de Produção
ENP154,Planejamento Estratégico e Mercadológico,Engenharia de Produção
ENP155,Custos Industriais,Engenharia de Produção
ENP023,Engenharia Econômica,Engenharia de Produção
ENP025,Gestão do Conhecimento,Engenharia de Produção
ENP122,Planejamento e Controle de Produção I,Engenharia de Produção
ENP141,Controle Estatístico de Qualidade,Engenharia de Produção
ENP701,Engenharia de Processos Mecânicos,Engenharia de Produção
ENP119,Logística,Engenharia de Produção
ENP123,Planejamento e Controle de Produção II,Engenharia de Produção
ENP159,Sistema de Desenvolvimento de Produto,Engenharia de Produção
ENP534,Gestão de Projetos,Engenharia de Produção
ATV029,Elaboração de Projeto de Monografia,Engenharia de Produção
CSI009,Fundamentos de Sistemas de Informação,Engenharia de Produção
ENP028,Gestão da Cadeia de Suprimentos,Engenharia de Produção
ENP158,Modelagem de Sistemas Produtivos e Logísticos I,Engenharia de Produção
ENP029,Gestão Ambiental,Engenharia de Produção
ENP156,Gestão de Serviços,Engenharia de Produção
ENP161,Simulação a Eventos Discretos,Engenharia de Produção
