codigo,nome,curso
CEA059,Fundamentos de Geometria Analítica e Álgebra Linear,Sistemas de Informação
CEA060,Fundamentos de Cálculo,Sistemas de Informação
CSI101,Programação de Computadores I,Sistemas de Informação
CSI601,Fundamentos de Sistema de Informação,Sistemas de Informação
CSI901,Informática e Sociedade,Sistemas de Informação
CSI902,Metodologia de Pesquisa,Sistemas de Informação
CSI011,Matemática Discreta,Sistemas de Informação
CSI102,Programação de Computadores II,Sistemas de Informação
CSI103,Algoritmos e Estruturas de Dados I,Sistemas de Informação
CSI807,Gestão da Informação,Sistemas de Informação
ENP144,Teoria Geral da Administração,Sistemas de Informação
CEA055,Estatística e Probabilidade,Sistemas de Informação
CSI104,Algoritmos e Estruturas de Dados II,Sistemas de Informação
CSI115,Algoritmos e Estruturas de Dados III,Sistemas de Informação
CSI211,Fundamentos de Organização e Arquitetura de Computadores,Sistemas de Informação
ENP473,Comportamento Organizacional,Sistemas de Informação
CSI204,Sistemas Operacionais,Sistemas de Informação
CSI412,Engenharia de Software I,Sistemas de Informação
CSI602,Banco de Dados I,Sistemas de Informação
ENP012,Programação Linear e Inteira,Sistemas de Informação
ENP150,Economia,Sistemas de Informação
CSI106,Fundamentos Teóricos da Computação,Sistemas de Informação
CSI301,Redes de Computadores I,Sistemas de Informação
CSI410,Engenharia de Software II,Sistemas de Informação
CSI522,Interação Humano-Computador,Sistemas de Informação
CSI701,Inteligência Artificial,Sistemas de Informação
CSI990,Projeto Integrador I,Sistemas de Informação
CSI114,Linguagens de Programação,Sistemas de Informação
CSI302,Sistemas Distribuídos,Sistemas de Informação
CSI405,Gerência de Projetos de Software,Sistemas de Informação
CSI606,Sistemas Web I,Sistemas de Informação
CSI991,Projeto Integrador II,Sistemas de Informação
CSI808,Gestão da Tecnologia da Informação,Sistemas de Informação
CSI992,Trabalho de Conclusão de Curso I,Sistemas de Informação
ENP026,Administração de Recursos Humanos,Sistemas de Informação
ENP493,Empreendedorismo,Sistemas de Informação
CSI307,Segurança e Auditoria de Sistemas,Sistemas de Informação
CSI605,Sistemas de Apoio à Decisão,Sistemas de Informação
CSI997,Trabalho de Conclusão de Curso II,Sistemas de Informação
